waste_type,quantity_kg,composition_pct,contamination_pct,moisture_pct,generation_frequency_per_week,processing_cost_per_tonne,transport_distance_km,target_pathway
Construction,1017.4,89.48,3.04,4.73,0.25,38.57,123.8,Reuse
Textile,3916.1,14.69,46.76,73.79,3.5,383.19,297.5,Disposal
Organic,16369.8,36.47,49.59,53.68,1.0,216.47,23.2,Energy Recovery
Rubber,18660.4,73.81,49.64,7.85,2.0,229.26,169.7,Energy Recovery
Construction,4267.7,70.33,41.63,5.69,0.5,305.23,274.8,Material Recovery
Plastic,1030.4,93.51,9.8,3.81,1.0,67.49,46.6,Reuse
Textile,44843.7,84.44,17.54,6.27,1.0,63.55,48.4,Recycling
Plastic,224.8,87.22,12.05,8.09,5.0,47.62,130.9,Recycling
E-waste,444.3,48.29,31.64,25.32,1.0,145.6,213.7,Material Recovery
Glass,80.4,93.23,10.53,0.36,2.0,88.28,179.5,Reuse
Metal,1082.8,87.0,28.22,2.72,7.0,270.45,69.0,Material Recovery
Plastic,11537.8,95.74,9.82,5.54,0.5,84.13,155.3,Reuse
Plastic,6934.8,40.31,44.81,20.16,2.0,60.7,261.7,Energy Recovery
Construction,108.1,80.81,12.41,25.51,2.0,115.23,78.7,Material Recovery
Wood,877.7,86.4,10.27,2.24,2.0,26.53,126.9,Reuse
Construction,228.3,41.85,74.78,27.2,1.0,436.21,190.2,Disposal
Metal,798.8,67.22,23.81,4.79,2.0,164.25,176.0,Recycling
Wood,48696.9,56.36,48.87,19.83,0.25,69.53,222.7,Energy Recovery
Construction,124.1,37.25,60.82,66.1,3.5,426.26,240.4,Disposal
Plastic,205.1,66.8,12.79,14.59,2.0,82.2,182.4,Recycling
Industrial Residue,856.2,25.74,53.76,76.58,0.5,195.44,250.7,Disposal
Metal,4571.0,54.95,31.61,3.65,5.0,228.83,129.8,Material Recovery
Organic,103.0,23.06,90.63,40.31,2.0,170.26,316.3,Disposal
Rubber,476.3,70.8,44.69,24.56,0.5,175.06,97.9,Energy Recovery
Glass,1897.5,77.05,11.71,0.68,2.0,94.01,102.0,Reuse
Metal,74.2,87.18,4.07,4.52,5.0,16.52,156.2,Reuse
E-waste,9904.3,79.48,21.04,6.68,1.0,200.88,216.5,Material Recovery
Plastic,110.1,76.28,20.33,12.22,2.0,119.95,141.0,Recycling
Organic,6364.8,41.27,94.68,46.3,0.5,288.33,204.4,Disposal
Plastic,62.9,92.77,21.99,16.65,7.0,82.46,240.8,Recycling
Glass,316.9,83.76,4.76,2.1,7.0,65.08,111.6,Reuse
Rubber,130.1,91.18,18.72,3.62,1.0,83.88,168.9,Recycling
Industrial Residue,163.8,26.45,95.52,76.03,7.0,351.96,442.0,Disposal
Plastic,111.5,57.29,19.5,15.83,1.0,162.07,94.2,Energy Recovery
Organic,341.8,58.34,26.22,61.2,0.25,151.53,130.3,Energy Recovery
Metal,547.1,78.95,4.21,7.09,7.0,86.07,153.0,Reuse
Plastic,5014.9,80.17,11.46,18.06,2.0,105.23,127.1,Recycling
Plastic,450.1,38.5,36.94,11.42,2.0,220.38,255.3,Energy Recovery
Glass,168.6,77.16,3.89,7.47,0.5,55.85,175.0,Reuse
Glass,80.3,95.74,7.71,1.51,1.0,35.74,53.1,Reuse
Industrial Residue,4093.5,36.58,54.87,59.39,1.0,294.72,331.6,Disposal
Glass,82.7,82.2,4.14,7.52,2.0,94.87,179.3,Reuse
Textile,686.7,41.43,46.07,65.65,3.5,195.51,422.5,Disposal
Organic,162.9,26.0,78.38,76.78,1.0,385.3,105.1,Disposal
Plastic,78.9,72.81,47.93,36.05,5.0,137.84,31.6,Energy Recovery
Glass,2890.8,84.17,15.94,6.11,1.0,154.14,158.2,Recycling
Construction,4086.4,81.64,0.54,14.11,1.0,73.0,101.5,Reuse
Metal,2575.4,87.92,11.32,4.01,0.5,114.69,27.6,Recycling
Plastic,4280.5,58.28,28.1,31.05,1.0,140.89,172.9,Energy Recovery
Plastic,443.0,93.62,3.13,1.55,1.0,27.93,170.0,Reuse
Construction,14478.5,38.65,81.59,77.61,5.0,383.51,237.7,Disposal
Construction,76.2,35.1,64.64,31.9,2.0,290.26,228.2,Disposal
Industrial Residue,4618.5,51.33,19.87,8.81,5.0,181.16,90.5,Material Recovery
E-waste,96.6,80.06,21.38,26.89,3.5,120.55,274.9,Material Recovery
Industrial Residue,43081.1,27.87,46.29,69.25,1.0,183.82,127.5,Disposal
Metal,42611.0,63.75,32.59,1.75,3.5,215.82,225.2,Material Recovery
Paper,38568.5,93.71,4.31,26.37,0.5,174.94,124.9,Recycling
Construction,560.7,97.71,3.05,8.67,0.25,14.53,92.9,Reuse
Rubber,1237.3,42.68,27.09,32.3,2.0,134.14,184.7,Energy Recovery
Rubber,2386.9,68.05,48.88,15.03,2.0,64.56,10.7,Energy Recovery
Textile,70.2,43.3,74.03,37.68,2.0,263.41,43.9,Disposal
Rubber,431.2,67.75,52.17,20.82,1.0,198.9,250.2,Energy Recovery
Metal,15169.4,70.26,21.12,8.97,2.0,51.71,170.6,Recycling
Rubber,12216.7,67.05,35.58,11.92,3.5,111.31,227.1,Energy Recovery
Textile,9297.0,74.47,20.45,36.68,0.5,129.61,256.9,Energy Recovery
Wood,18072.7,91.62,7.97,15.48,5.0,42.3,60.4,Reuse
Wood,5600.4,72.95,29.71,18.98,7.0,209.5,263.0,Energy Recovery
